,mission_id,geometry
245,ap066178,POINT (96.112883 27.300864)
246,ap066181,POINT (96.134399 27.9412)
247,ap066184,POINT (96.213954 27.492864)
248,ap066188,POINT (96.35382 27.88058)
249,ap066205,POINT (97.0037 27.1936)
250,ap066206,POINT (97.019661 28.129673)
251,ap070841,POINT (129.99353 49.09049)
252,ap071530,POINT (133.41152 44.28045)
253,ap071751,POINT (134.35668 47.41833)
254,ap070449,POINT (128.776993 50.77)
255,ap067877,POINT (119.407222 45.487222)
256,ap075335,POINT (141.69392 44.354)
257,ap070041,POINT (127.412003 50.4254)
258,ap072673,POINT (136.161458 57.642153)
259,ap067830,POINT (119.00104 50.34247)
260,ap067828,POINT (118.92798 50.01372)
261,ap067933,POINT (119.780331 59.05574)
262,ap067675,POINT (117.597742 59.900692)
263,ap067392,POINT (115.37272 50.28331)
264,ap070812,POINT (129.770996 62.0933)
265,ap070092,POINT (127.56631 50.11444)
266,ap071477,POINT (133.234103 47.736986)
267,ap067533,POINT (116.383003 50.599998)
268,ap069003,POINT (125.4743 53.13513)
269,ap068889,POINT (124.550178 44.938114)
270,ap071425,POINT (133.048811 48.583557)
271,ap070869,POINT (130.26974 46.79304)
272,ap067940,POINT (119.824997 49.205002)
273,ap071854,POINT (134.88777 48.4793)
274,ap067891,POINT (119.48523 50.91762)
275,ap067969,POINT (119.99808 51.5632)
276,ap073029,POINT (137.080994 50.605598)
277,ap075609,POINT (142.717466 46.885461)
278,ap071443,POINT (133.089694 59.631249)
279,ap071752,POINT (134.36298 48.197219)
280,ap067792,POINT (118.644602 63.9622)
281,ap067768,POINT (118.370003 51.547001)
282,ap071311,POINT (132.545289 44.32239)
283,ap075644,POINT (142.869995 46.709801)
284,ap071378,POINT (132.8781 48.04054)
285,ap073208,POINT (137.89901 46.09133)
286,ap075201,POINT (141.186005 45.242001)
287,ap068915,POINT (124.720222 52.224444)
288,ap069224,POINT (126.521812 45.670924)
289,ap075819,POINT (143.544855 44.054456)
290,ap067293,POINT (114.45262 50.34665)
291,ap071189,POINT (131.951 47.78344)
292,ap067436,POINT (115.74772 49.89546)
293,ap072762,POINT (136.473999 52.439999)
294,ap068819,POINT (123.846388 63.852094)
295,ap075366,POINT (141.806 53.247101)
296,ap071222,POINT (132.21401 44.01545)
297,ap073045,POINT (137.16077 45.41223)
298,ap068925,POINT (124.77901 55.284936)
299,ap067988,POINT (120.09881 51.69133)
300,ap075187,POINT (141.14855 45.16183)
301,ap071657,POINT (133.962878 52.252622)
302,ap067531,POINT (116.347 50.396702)
303,ap070005,POINT (127.33141 50.55466)
304,ap068853,POINT (124.17853 48.20117)
305,ap068961,POINT (125.138642 46.750883)
306,ap067332,POINT (114.84834 50.24435)
307,ap067677,POINT (117.62119 49.61007)
308,ap068880,POINT (124.43127 48.38745)
309,ap068694,POINT (122.422759 52.916871)
310,ap071898,POINT (135.146577 60.480888)
311,ap070000,POINT (127.31149 50.73505)
312,ap070023,POINT (127.36028 50.5374)
313,ap071191,POINT (131.97882 45.24521)
314,ap067663,POINT (117.44415 49.64465)
315,ap071065,POINT (131.13758 44.44387)
316,ap068828,POINT (123.917999 47.239601)
317,ap075432,POINT (142.082993 49.1903)
